Team,Season,Conference,Type,Games,Completions,Pass_Attempts,Completion_Percentage,Passing_Yards,Passing_TD,Rushing_Attempts,Rushing_Yards,Rushing_Avg,Rushing_TD,Plays,Total_Yards,Yards_Per_Play,Pass_First_Downs,Rush_First_Downs,Penalty_First_Downs,Total_First_Downs,Number_Of_Penalties,Penalty_Yards,Fumbles,Interceptions,Turnovers
air-force,2016.0,MWC,Offense,13.0,5.2,11.5,45.3,134.8,1.1,63.7,319.0,5.0,3.0,75.2,453.8,6.0,4.3,17.7,1.2,23.2,5.2,51.2,0.7,0.6,1.3
air-force,2016.0,MWC,Defense,13.0,15.5,29.5,52.5,251.8,1.8,33.5,114.2,3.4,1.5,63.0,366.0,5.8,9.8,5.9,1.8,17.5,5.4,40.8,0.6,1.2,1.8
air-force,2016.0,MWC,Difference,NA,-10.3,-18.0,-7.2,-117.0,-0.7,30.2,204.8,1.6,1.5,12.2,87.8,0.2,-5.5,11.8,-0.6,5.7,-0.2,10.4,0.1,-0.6,-0.5
air-force,2015.0,MWC,Offense,14.0,6.2,12.1,51.2,131.9,1.1,58.4,319.4,5.5,3.2,70.5,451.4,6.4,4.6,14.2,1.1,21.5,3.8,38.3,0.8,0.9,1.6
air-force,2015.0,MWC,Defense,14.0,14.6,27.6,53.0,210.1,1.6,34.5,144.7,4.2,1.4,62.1,354.9,5.7,8.2,6.1,1.1,16.4,5.5,41.9,0.5,0.8,1.3
air-force,2015.0,MWC,Difference,NA,-8.4,-15.5,-1.8,-78.2,-0.5,23.9,174.7,1.3,1.8,8.4,96.5,0.7,-3.6,8.1,0.0,5.1,-1.7,-3.6,0.3,0.1,0.3
air-force,2014.0,MWC,Offense,13.0,9.0,15.8,56.8,145.6,1.2,61.2,273.1,4.5,2.6,77.1,418.7,5.4,5.7,15.2,1.2,22.1,3.5,35.4,1.0,0.3,1.3
air-force,2014.0,MWC,Defense,13.0,18.4,33.4,55.1,258.4,1.5,35.4,136.9,3.9,1.3,68.8,395.3,5.7,11.1,7.0,1.1,19.2,4.5,42.5,0.6,0.8,1.4
air-force,2014.0,MWC,Difference,NA,-9.4,-17.6,1.7,-112.8,-0.3,25.8,136.2,0.6,1.3,8.3,23.4,-0.3,-5.4,8.2,0.1,2.9,-1.0,-7.1,0.4,-0.5,-0.1
air-force,2013.0,MWC,Offense,12.0,7.8,14.5,53.4,104.9,0.7,53.1,262.7,4.9,2.5,67.6,367.6,5.4,4.6,13.5,1.1,19.2,4.4,36.3,0.8,0.3,1.1
air-force,2013.0,MWC,Defense,12.0,19.8,27.2,72.7,239.7,2.2,49.3,250.6,5.1,3.4,76.5,490.3,6.4,11.9,14.5,1.1,27.5,4.8,36.5,0.4,0.3,0.8
air-force,2013.0,MWC,Difference,NA,-12.0,-12.7,-19.3,-134.8,-1.5,3.8,12.1,-0.2,-0.9,-8.9,-122.7,-1.0,-7.3,-1.0,0.0,-8.3,-0.4,-0.2,0.4,0.0,0.3
air-force,2012.0,MWC,Offense,13.0,6.4,11.6,55.0,102.6,0.7,61.8,316.2,5.1,3.0,73.5,418.8,5.7,3.8,17.2,1.2,22.3,3.4,26.2,1.6,0.6,2.2
air-force,2012.0,MWC,Defense,13.0,17.9,26.4,67.9,210.6,1.5,44.2,198.8,4.5,2.1,70.6,409.4,5.8,10.1,10.2,0.6,20.8,4.8,37.8,0.6,0.6,1.2
air-force,2012.0,MWC,Difference,NA,-11.5,-14.8,-12.9,-108.0,-0.8,17.6,117.4,0.6,0.9,2.9,9.4,-0.1,-6.3,7.0,0.6,1.5,-1.4,-11.6,1.0,0.0,1.0
air-force,2011.0,MWC,Offense,13.0,9.5,15.7,60.3,140.1,1.2,55.6,314.8,5.7,3.3,71.3,454.8,6.4,6.0,15.7,1.5,23.2,4.7,43.2,1.4,0.6,2.0
air-force,2011.0,MWC,Defense,13.0,14.9,23.8,62.8,166.8,1.6,44.3,219.7,5.0,1.8,68.1,386.5,5.7,8.1,11.9,1.0,21.0,6.5,57.1,1.1,0.9,2.0
air-force,2011.0,MWC,Difference,NA,-5.4,-8.1,-2.5,-26.7,-0.4,11.3,95.1,0.7,1.5,3.2,68.3,0.7,-2.1,3.8,0.5,2.2,-1.8,-13.9,0.3,-0.3,0.0
air-force,2010.0,MWC,Offense,13.0,6.8,12.9,52.4,119.3,0.9,57.5,306.5,5.3,3.2,70.5,425.8,6.0,4.8,16.4,0.7,21.8,4.5,40.5,0.8,0.5,1.3
air-force,2010.0,MWC,Defense,13.0,13.5,24.7,54.8,147.8,0.8,42.2,201.5,4.8,1.8,66.9,349.3,5.2,7.5,10.4,0.8,18.6,4.3,34.8,0.8,0.9,1.7
air-force,2010.0,MWC,Difference,NA,-6.7,-11.8,-2.4,-28.5,0.1,15.3,105.0,0.5,1.4,3.6,76.5,0.8,-2.7,6.0,-0.1,3.2,0.2,5.7,0.0,-0.4,-0.4
air-force,2009.0,MWC,Offense,13.0,5.9,11.8,50.3,88.4,0.6,62.7,283.5,4.5,2.4,74.5,371.8,5.0,3.6,15.6,0.8,20.1,4.9,45.0,0.7,0.2,0.9
air-force,2009.0,MWC,Defense,13.0,14.5,25.2,57.6,154.3,0.8,35.8,134.0,3.7,0.9,61.0,288.3,4.7,7.4,6.5,0.7,14.6,5.5,47.0,1.1,1.5,2.6
air-force,2009.0,MWC,Difference,NA,-8.6,-13.4,-7.3,-65.9,-0.2,26.9,149.5,0.8,1.5,13.5,83.5,0.3,-3.8,9.1,0.1,5.5,-0.6,-2.0,-0.4,-1.3,-1.7
air-force,2008.0,MWC,Offense,13.0,5.7,10.6,53.6,82.2,0.7,59.8,266.9,4.5,2.1,70.4,349.1,5.0,2.8,14.8,1.0,18.5,5.6,46.3,0.8,0.5,1.3
air-force,2008.0,MWC,Defense,13.0,16.8,28.8,58.4,199.9,1.2,38.5,141.5,3.7,1.5,67.3,341.5,5.1,10.1,7.8,1.3,19.2,5.5,42.3,1.4,0.9,2.3
air-force,2008.0,MWC,Difference,NA,-11.1,-18.2,-4.8,-117.7,-0.5,21.3,125.4,0.8,0.6,3.1,7.6,-0.1,-7.3,7.0,-0.3,-0.7,0.1,4.0,-0.6,-0.4,-1.0
air-force,2007.0,MWC,Offense,13.0,10.0,16.5,60.7,119.8,0.7,55.5,299.5,5.4,2.8,71.9,419.4,5.8,5.4,14.8,1.2,21.3,4.8,44.2,1.0,0.4,1.4
air-force,2007.0,MWC,Defense,13.0,19.2,32.8,58.5,232.2,1.2,39.5,136.5,3.5,1.2,72.3,368.7,5.1,10.4,8.4,1.2,19.9,5.5,42.1,1.0,1.2,2.2
air-force,2007.0,MWC,Difference,NA,-9.2,-16.3,2.2,-112.4,-0.5,16.0,163.0,1.9,1.6,-0.4,50.7,0.7,-5.0,6.4,0.0,1.4,-0.7,2.1,0.0,-0.8,-0.8
air-force,2006.0,MWC,Offense,12.0,7.0,12.2,57.5,101.3,1.0,55.0,229.4,4.2,1.8,67.2,330.7,4.9,4.6,13.9,1.5,20.0,3.9,34.0,0.8,0.3,1.2
air-force,2006.0,MWC,Defense,12.0,16.8,25.3,66.7,213.4,1.7,34.6,141.3,4.1,1.3,59.8,354.7,5.9,9.2,9.3,0.8,19.2,5.6,46.3,1.1,0.8,1.8
air-force,2006.0,MWC,Difference,NA,-9.8,-13.1,-9.2,-112.1,-0.7,20.4,88.1,0.1,0.5,7.4,-24.0,-1.0,-4.6,4.6,0.7,0.8,-1.7,-12.3,-0.3,-0.5,-0.6
air-force,2005.0,MWC,Offense,11.0,11.0,18.6,59.0,170.7,1.3,53.5,246.5,4.6,2.5,72.1,417.3,5.8,7.1,13.5,1.9,22.5,4.9,45.9,1.3,0.9,2.2
air-force,2005.0,MWC,Defense,11.0,19.4,29.5,65.7,255.0,1.5,40.2,173.5,4.3,2.5,69.6,428.5,6.2,11.6,9.5,1.2,22.4,5.9,50.7,0.7,0.8,1.5
air-force,2005.0,MWC,Difference,NA,-8.4,-10.9,-6.7,-84.3,-0.2,13.3,73.0,0.3,0.0,2.5,-11.2,-0.4,-4.5,4.0,0.7,0.1,-1.0,-4.8,0.6,0.1,0.7
air-force,2004.0,MWC,Offense,11.0,10.3,17.2,59.8,148.1,1.1,58.9,277.4,4.7,2.9,76.1,425.5,5.6,7.2,14.6,1.9,23.7,5.2,45.4,0.7,0.7,1.5
air-force,2004.0,MWC,Defense,11.0,15.3,27.1,56.4,222.1,1.5,40.5,200.0,4.9,2.2,67.5,422.1,6.2,10.1,9.9,1.2,21.2,5.5,44.2,0.7,0.8,1.5
air-force,2004.0,MWC,Difference,NA,-5.0,-9.9,3.4,-74.0,-0.4,18.4,77.4,-0.2,0.7,8.6,3.4,-0.6,-2.9,4.7,0.7,2.5,-0.3,1.2,0.0,-0.1,0.0
air-force,2003.0,MWC,Offense,12.0,7.7,15.3,50.3,104.9,0.7,59.7,280.6,4.7,2.6,74.9,385.5,5.1,4.8,15.3,1.2,21.3,4.2,32.8,0.8,0.7,1.4
air-force,2003.0,MWC,Defense,12.0,14.1,26.0,54.2,183.1,0.9,42.6,168.9,4.0,1.7,68.6,352.0,5.1,8.8,9.8,0.8,19.3,5.3,44.9,0.8,1.1,1.9
air-force,2003.0,MWC,Difference,NA,-6.4,-10.7,-3.9,-78.2,-0.2,17.1,111.7,0.7,0.9,6.3,33.5,0.0,-4.0,5.5,0.4,2.0,-1.1,-12.1,0.0,-0.4,-0.5
air-force,2002.0,MWC,Offense,13.0,5.2,11.8,43.5,90.4,0.9,60.5,307.8,5.1,3.2,72.3,398.2,5.5,3.3,17.5,1.5,22.3,4.2,33.9,0.8,0.5,1.3
air-force,2002.0,MWC,Defense,13.0,16.2,28.5,56.8,198.8,0.8,39.2,155.5,4.0,1.9,67.6,354.3,5.2,9.4,9.0,0.7,19.1,4.9,43.9,1.1,0.9,2.0
air-force,2002.0,MWC,Difference,NA,-11.0,-16.7,-13.3,-108.4,0.1,21.3,152.3,1.1,1.3,4.7,43.9,0.3,-6.1,8.5,0.8,3.2,-0.7,-10.0,-0.3,-0.4,-0.7
air-force,2001.0,MWC,Offense,12.0,9.3,19.5,47.9,118.9,0.5,56.4,273.3,4.8,3.0,75.9,392.2,5.2,5.5,14.7,0.8,21.0,4.7,38.6,0.8,0.8,1.7
air-force,2001.0,MWC,Defense,12.0,17.3,31.4,54.9,249.2,1.6,39.7,203.5,5.1,2.1,71.1,452.7,6.4,10.8,10.8,0.9,22.5,4.6,43.3,1.2,1.2,2.3
air-force,2001.0,MWC,Difference,NA,-8.0,-11.9,-7.0,-130.3,-1.1,16.7,69.8,-0.3,0.9,4.8,-60.5,-1.2,-5.3,3.9,-0.1,-1.5,0.1,-4.7,-0.4,-0.4,-0.6
air-force,2e3,MWC,Offense,11.0,10.5,18.6,56.6,157.0,1.2,58.8,294.9,5.0,3.0,77.5,451.9,5.8,7.7,16.4,1.4,25.5,5.4,41.2,0.5,0.5,1.1
