Team,First_Year,Last_Year,Num_Seasons,Games,Wins,Losses,Ties,Winning_Pct,Bowl_Games,Bowl_Wins,Bowl_Losses,Bowl_Ties,Bowl_Winning_Pct,SRS,SOS,Years_Ranked_In_AP,Conference_Championships,Notes
air-force,1957.0,2016.0,60.0,697.0,374.0,311.0,12.0,0.545,26.0,12.0,13.0,1.0,0.481,1.16,-0.51,6.0,3.0,
akron,1975.0,2016.0,31.0,357.0,139.0,215.0,3.0,0.394,2.0,1.0,1.0,0.0,0.5,-11.67,-7.37,0.0,1.0,
alabama,1902.0,2016.0,113.0,1235.0,892.0,301.0,42.0,0.739,66.0,38.0,25.0,3.0,0.598,13.27,4.12,54.0,26.0,record adjusted to 863-310-41 by NCAA
alameda-coast-guard,1943.0,1944.0,2.0,15.0,8.0,4.0,3.0,0.633,0.0,0.0,0.0,0.0,NA,-0.16,-5.13,0.0,0.0,
alcorn-state,1977.0,1977.0,1.0,11.0,3.0,8.0,0.0,0.273,0.0,0.0,0.0,0.0,NA,-17.1,-9.19,0.0,0.0,
amarillo-field,1944.0,1944.0,1.0,8.0,5.0,3.0,0.0,0.625,0.0,0.0,0.0,0.0,NA,5.1,-1.78,0.0,0.0,
amherst,1877.0,1906.0,25.0,239.0,108.0,110.0,21.0,0.496,0.0,0.0,0.0,0.0,NA,-1.2,-0.2,0.0,0.0,
appalachian-state,1972.0,2016.0,13.0,148.0,77.0,66.0,5.0,0.537,2.0,2.0,0.0,0.0,1.0,-4.33,-7.07,0.0,0.0,
arizona,1931.0,2016.0,83.0,906.0,474.0,409.0,23.0,0.536,19.0,9.0,9.0,1.0,0.5,1.73,0.61,8.0,6.0,
arizona-state,1931.0,2016.0,83.0,911.0,554.0,339.0,18.0,0.618,29.0,14.0,14.0,1.0,0.5,3.52,-1.43,17.0,17.0,
arkansas,1906.0,2016.0,111.0,1175.0,675.0,463.0,37.0,0.59,42.0,15.0,24.0,3.0,0.393,6.77,2.97,28.0,14.0,record adjusted to 676-462-37 by NCAA
arkansas-state,1974.0,2016.0,35.0,406.0,178.0,226.0,2.0,0.441,7.0,3.0,4.0,0.0,0.429,-9.73,-6.97,0.0,6.0,record adjusted to 168-226-2 by NCAA
army,1891.0,2016.0,123.0,1214.0,657.0,506.0,51.0,0.562,6.0,4.0,2.0,0.0,0.667,3.37,-0.12,14.0,0.0,
auburn,1902.0,2016.0,114.0,1188.0,723.0,422.0,43.0,0.627,41.0,23.0,16.0,2.0,0.585,8.69,4.38,38.0,8.0,record adjusted to 726-420-42 by NCAA
ball-state,1975.0,2016.0,42.0,483.0,240.0,239.0,4.0,0.501,7.0,0.0,7.0,0.0,0.0,-8.32,-7.83,0.0,5.0,
bates,1901.0,1905.0,3.0,21.0,10.0,8.0,3.0,0.548,0.0,0.0,0.0,0.0,NA,-1.85,-2.2,0.0,0.0,
baylor,1903.0,2016.0,111.0,1165.0,576.0,548.0,41.0,0.512,23.0,12.0,11.0,0.0,0.522,2.71,2.6,14.0,8.0,record adjusted to 576-548-40 by NCAA
beloit,1894.0,1905.0,9.0,85.0,39.0,36.0,10.0,0.518,0.0,0.0,0.0,0.0,NA,-1.63,-1.71,0.0,0.0,
birmingham-southern,1920.0,1924.0,4.0,36.0,16.0,17.0,3.0,0.486,0.0,0.0,0.0,0.0,NA,-5.29,-4.68,0.0,0.0,
boise-state,1996.0,2016.0,21.0,268.0,208.0,60.0,0.0,0.776,17.0,11.0,6.0,0.0,0.647,5.72,-4.9,10.0,12.0,
boston-college,1901.0,2016.0,82.0,879.0,486.0,379.0,14.0,0.561,25.0,14.0,11.0,0.0,0.56,1.89,-0.14,14.0,1.0,
boston-university,1923.0,1964.0,20.0,170.0,73.0,90.0,7.0,0.45,0.0,0.0,0.0,0.0,NA,-6.91,-4.99,1.0,0.0,
bowdoin,1896.0,1905.0,7.0,66.0,33.0,30.0,3.0,0.523,0.0,0.0,0.0,0.0,NA,-3.11,-2.87,0.0,0.0,
bowling-green-state,1962.0,2016.0,55.0,618.0,347.0,260.0,11.0,0.57,12.0,5.0,7.0,0.0,0.417,-4.52,-6.92,1.0,9.0,
bradley,1949.0,1951.0,3.0,29.0,14.0,15.0,0.0,0.483,0.0,0.0,0.0,0.0,NA,-12.91,-12.75,0.0,0.0,
brigham-young,1922.0,2016.0,92.0,996.0,564.0,406.0,26.0,0.579,35.0,14.0,20.0,1.0,0.414,-0.99,-3.24,17.0,23.0,
brown,1878.0,1981.0,93.0,858.0,431.0,392.0,35.0,0.523,1.0,0.0,1.0,0.0,0.0,-2.92,-3.57,0.0,1.0,
bucknell,1888.0,1946.0,40.0,357.0,168.0,157.0,32.0,0.515,1.0,1.0,0.0,0.0,1.0,-3.0,-2.93,0.0,0.0,
