Team,Season,Conference,Game_Number,Date,Day,Location,TeamRank,Opponent,OpponentRank,OpponentConf,Result,Points,Opponent_Points,TotalWins,TotalLosses,Streak,Notes
boston-college,2016.0,ACC,1.0,2016-09-03,Sat,Neutral,NA,georgia-tech,NA,ACC,L,14.0,17.0,0.0,1.0,L 1,
boston-college,2016.0,ACC,2.0,2016-09-10,Sat,Away,NA,massachusetts,NA,Ind,W,26.0,7.0,1.0,1.0,W 1,
boston-college,2016.0,ACC,3.0,2016-09-17,Sat,Away,NA,virginia-tech,NA,ACC,L,0.0,49.0,1.0,2.0,L 1,
boston-college,2016.0,ACC,4.0,2016-09-24,Sat,Home,NA,wagner,NA,Non-Major,W,42.0,10.0,2.0,2.0,W 1,
boston-college,2016.0,ACC,5.0,2016-10-01,Sat,Home,NA,buffalo,NA,MAC,W,35.0,3.0,3.0,2.0,W 2,
boston-college,2016.0,ACC,6.0,2016-10-07,Fri,Home,NA,clemson,3.0,ACC,L,10.0,56.0,3.0,3.0,L 1,
boston-college,2016.0,ACC,7.0,2016-10-22,Sat,Home,NA,syracuse,NA,ACC,L,20.0,28.0,3.0,4.0,L 2,
boston-college,2016.0,ACC,8.0,2016-10-29,Sat,Away,NA,north-carolina-state,NA,ACC,W,21.0,14.0,4.0,4.0,W 1,
boston-college,2016.0,ACC,9.0,2016-11-05,Sat,Home,NA,louisville,5.0,ACC,L,7.0,52.0,4.0,5.0,L 1,
boston-college,2016.0,ACC,10.0,2016-11-11,Fri,Away,NA,florida-state,20.0,ACC,L,7.0,45.0,4.0,6.0,L 2,
boston-college,2016.0,ACC,11.0,2016-11-19,Sat,Home,NA,connecticut,NA,American,W,30.0,0.0,5.0,6.0,W 1,
boston-college,2016.0,ACC,12.0,2016-11-26,Sat,Away,NA,wake-forest,NA,ACC,W,17.0,14.0,6.0,6.0,W 2,
boston-college,2016.0,ACC,13.0,2016-12-26,Mon,Neutral,NA,maryland,NA,Big Ten,W,36.0,30.0,7.0,6.0,W 3,Quick Lane Bowl
boston-college,2015.0,ACC,1.0,2015-09-05,Sat,Home,NA,maine,NA,Non-Major,W,24.0,3.0,1.0,0.0,W 1,
boston-college,2015.0,ACC,2.0,2015-09-12,Sat,Home,NA,howard,NA,Non-Major,W,76.0,0.0,2.0,0.0,W 2,
boston-college,2015.0,ACC,3.0,2015-09-18,Fri,Home,NA,florida-state,9.0,ACC,L,0.0,14.0,2.0,1.0,L 1,
boston-college,2015.0,ACC,4.0,2015-09-26,Sat,Home,NA,northern-illinois,NA,MAC,W,17.0,14.0,3.0,1.0,W 1,
boston-college,2015.0,ACC,5.0,2015-10-03,Sat,Away,NA,duke,NA,ACC,L,7.0,9.0,3.0,2.0,L 1,
boston-college,2015.0,ACC,6.0,2015-10-10,Sat,Home,NA,wake-forest,NA,ACC,L,0.0,3.0,3.0,3.0,L 2,
boston-college,2015.0,ACC,7.0,2015-10-17,Sat,Away,NA,clemson,5.0,ACC,L,17.0,34.0,3.0,4.0,L 3,
boston-college,2015.0,ACC,8.0,2015-10-24,Sat,Away,NA,louisville,NA,ACC,L,14.0,17.0,3.0,5.0,L 4,
boston-college,2015.0,ACC,9.0,2015-10-31,Sat,Home,NA,virginia-tech,NA,ACC,L,10.0,26.0,3.0,6.0,L 5,
boston-college,2015.0,ACC,10.0,2015-11-07,Sat,Home,NA,north-carolina-state,NA,ACC,L,8.0,24.0,3.0,7.0,L 6,
boston-college,2015.0,ACC,11.0,2015-11-21,Sat,Neutral,NA,notre-dame,5.0,Ind,L,16.0,19.0,3.0,8.0,L 7,Fenway Park - Boston Massachusetts
boston-college,2015.0,ACC,12.0,2015-11-28,Sat,Away,NA,syracuse,NA,ACC,L,17.0,20.0,3.0,9.0,L 8,
boston-college,2014.0,ACC,1.0,2014-08-30,Sat,Neutral,NA,massachusetts,NA,MAC,W,30.0,7.0,1.0,0.0,W 1,"Gillette Stadium - Foxborough, MA"
boston-college,2014.0,ACC,2.0,2014-09-05,Fri,Home,NA,pittsburgh,NA,ACC,L,20.0,30.0,1.0,1.0,L 1,
boston-college,2014.0,ACC,3.0,2014-09-13,Sat,Home,NA,southern-california,9.0,Pac-12,W,37.0,31.0,2.0,1.0,W 1,
boston-college,2014.0,ACC,4.0,2014-09-20,Sat,Home,NA,maine,NA,Non-Major,W,40.0,10.0,3.0,1.0,W 2,
boston-college,2014.0,ACC,5.0,2014-09-27,Sat,Home,NA,colorado-state,NA,MWC,L,21.0,24.0,3.0,2.0,L 1,
boston-college,2014.0,ACC,6.0,2014-10-11,Sat,Away,NA,north-carolina-state,NA,ACC,W,30.0,14.0,4.0,2.0,W 1,
boston-college,2014.0,ACC,7.0,2014-10-18,Sat,Home,NA,clemson,24.0,ACC,L,13.0,17.0,4.0,3.0,L 1,
boston-college,2014.0,ACC,8.0,2014-10-25,Sat,Away,NA,wake-forest,NA,ACC,W,23.0,17.0,5.0,3.0,W 1,
boston-college,2014.0,ACC,9.0,2014-11-01,Sat,Away,NA,virginia-tech,NA,ACC,W,33.0,31.0,6.0,3.0,W 2,
boston-college,2014.0,ACC,10.0,2014-11-08,Sat,Home,NA,louisville,NA,ACC,L,19.0,38.0,6.0,4.0,L 1,
boston-college,2014.0,ACC,11.0,2014-11-22,Sat,Away,NA,florida-state,1.0,ACC,L,17.0,20.0,6.0,5.0,L 2,
boston-college,2014.0,ACC,12.0,2014-11-29,Sat,Home,NA,syracuse,NA,ACC,W,28.0,7.0,7.0,5.0,W 1,
boston-college,2014.0,ACC,13.0,2014-12-27,Sat,Neutral,NA,penn-state,NA,Big Ten,L,30.0,31.0,7.0,6.0,L 1,"Pinstripe Bowl (Bronx, New York)"
boston-college,2013.0,ACC,1.0,2013-08-31,Sat,Home,NA,villanova,NA,Non-Major,W,24.0,14.0,1.0,0.0,W 1,
boston-college,2013.0,ACC,2.0,2013-09-06,Fri,Home,NA,wake-forest,NA,ACC,W,24.0,10.0,2.0,0.0,W 2,
boston-college,2013.0,ACC,3.0,2013-09-14,Sat,Away,NA,southern-california,NA,Pac-12,L,7.0,35.0,2.0,1.0,L 1,
boston-college,2013.0,ACC,4.0,2013-09-28,Sat,Home,NA,florida-state,8.0,ACC,L,34.0,48.0,2.0,2.0,L 2,
boston-college,2013.0,ACC,5.0,2013-10-05,Sat,Home,NA,army,NA,Ind,W,48.0,27.0,3.0,2.0,W 1,
boston-college,2013.0,ACC,6.0,2013-10-12,Sat,Away,NA,clemson,3.0,ACC,L,14.0,24.0,3.0,3.0,L 1,
boston-college,2013.0,ACC,7.0,2013-10-26,Sat,Away,NA,north-carolina,NA,ACC,L,10.0,34.0,3.0,4.0,L 2,
boston-college,2013.0,ACC,8.0,2013-11-02,Sat,Home,NA,virginia-tech,NA,ACC,W,34.0,27.0,4.0,4.0,W 1,
boston-college,2013.0,ACC,9.0,2013-11-09,Sat,Away,NA,new-mexico-state,NA,Ind,W,48.0,34.0,5.0,4.0,W 2,
boston-college,2013.0,ACC,10.0,2013-11-16,Sat,Home,NA,north-carolina-state,NA,ACC,W,38.0,21.0,6.0,4.0,W 3,
boston-college,2013.0,ACC,11.0,2013-11-23,Sat,Away,NA,maryland,NA,ACC,W,29.0,26.0,7.0,4.0,W 4,
boston-college,2013.0,ACC,12.0,2013-11-30,Sat,Away,NA,syracuse,NA,ACC,L,31.0,34.0,7.0,5.0,L 1,
boston-college,2013.0,ACC,13.0,2013-12-31,Tue,Neutral,NA,arizona,NA,Pac-12,L,19.0,42.0,7.0,6.0,L 2," (Shreveport, LA)"
boston-college,2012.0,ACC,1.0,2012-09-01,Sat,Home,NA,miami-fl,NA,ACC,L,32.0,41.0,0.0,1.0,L 1,
boston-college,2012.0,ACC,2.0,2012-09-08,Sat,Home,NA,maine,NA,Non-Major,W,34.0,3.0,1.0,1.0,W 1,
boston-college,2012.0,ACC,3.0,2012-09-15,Sat,Away,NA,northwestern,NA,Big Ten,L,13.0,22.0,1.0,2.0,L 1,
boston-college,2012.0,ACC,4.0,2012-09-29,Sat,Home,NA,clemson,17.0,ACC,L,31.0,45.0,1.0,3.0,L 2,
boston-college,2012.0,ACC,5.0,2012-10-06,Sat,Away,NA,army,NA,Ind,L,31.0,34.0,1.0,4.0,L 3,
boston-college,2012.0,ACC,6.0,2012-10-13,Sat,Away,NA,florida-state,12.0,ACC,L,7.0,51.0,1.0,5.0,L 4,
boston-college,2012.0,ACC,7.0,2012-10-20,Sat,Away,NA,georgia-tech,NA,ACC,L,17.0,37.0,1.0,6.0,L 5,
boston-college,2012.0,ACC,8.0,2012-10-27,Sat,Home,NA,maryland,NA,ACC,W,20.0,17.0,2.0,6.0,W 1,
boston-college,2012.0,ACC,9.0,2012-11-03,Sat,Away,NA,wake-forest,NA,ACC,L,14.0,28.0,2.0,7.0,L 1,
boston-college,2012.0,ACC,10.0,2012-11-10,Sat,Home,NA,notre-dame,4.0,Ind,L,6.0,21.0,2.0,8.0,L 2,
boston-college,2012.0,ACC,11.0,2012-11-17,Sat,Home,NA,virginia-tech,NA,ACC,L,23.0,30.0,2.0,9.0,L 3,
boston-college,2012.0,ACC,12.0,2012-11-24,Sat,Away,NA,north-carolina-state,NA,ACC,L,10.0,27.0,2.0,10.0,L 4,
boston-college,2011.0,ACC,1.0,2011-09-03,Sat,Home,NA,northwestern,NA,Big Ten,L,17.0,24.0,0.0,1.0,L 1,
boston-college,2011.0,ACC,2.0,2011-09-10,Sat,Away,NA,central-florida,NA,CUSA,L,3.0,30.0,0.0,2.0,L 2,
boston-college,2011.0,ACC,3.0,2011-09-17,Sat,Home,NA,duke,NA,ACC,L,19.0,20.0,0.0,3.0,L 3,
boston-college,2011.0,ACC,4.0,2011-09-24,Sat,Home,NA,massachusetts,NA,Non-Major,W,45.0,17.0,1.0,3.0,W 1,
boston-college,2011.0,ACC,5.0,2011-10-01,Sat,Home,NA,wake-forest,NA,ACC,L,19.0,27.0,1.0,4.0,L 1,
boston-college,2011.0,ACC,6.0,2011-10-08,Sat,Away,NA,clemson,8.0,ACC,L,14.0,36.0,1.0,5.0,L 2,
boston-college,2011.0,ACC,7.0,2011-10-22,Sat,Away,NA,virginia-tech,16.0,ACC,L,14.0,30.0,1.0,6.0,L 3,
boston-college,2011.0,ACC,8.0,2011-10-29,Sat,Away,NA,maryland,NA,ACC,W,28.0,17.0,2.0,6.0,W 1,
boston-college,2011.0,ACC,9.0,2011-11-03,Thu,Home,NA,florida-state,NA,ACC,L,7.0,38.0,2.0,7.0,L 1,
boston-college,2011.0,ACC,10.0,2011-11-12,Sat,Home,NA,north-carolina-state,NA,ACC,W,14.0,10.0,3.0,7.0,W 1,
boston-college,2011.0,ACC,11.0,2011-11-19,Sat,Away,NA,notre-dame,24.0,Ind,L,14.0,16.0,3.0,8.0,L 1,
boston-college,2011.0,ACC,12.0,2011-11-25,Fri,Away,NA,miami-fl,NA,ACC,W,24.0,17.0,4.0,8.0,W 1,
boston-college,2010.0,ACC,1.0,2010-09-04,Sat,Home,NA,weber-state,NA,Non-Major,W,38.0,20.0,1.0,0.0,W 1,
boston-college,2010.0,ACC,2.0,2010-09-11,Sat,Home,NA,kent-state,NA,MAC,W,26.0,13.0,2.0,0.0,W 2,
boston-college,2010.0,ACC,3.0,2010-09-25,Sat,Home,NA,virginia-tech,NA,ACC,L,0.0,19.0,2.0,1.0,L 1,
boston-college,2010.0,ACC,4.0,2010-10-02,Sat,Home,NA,notre-dame,NA,Ind,L,13.0,31.0,2.0,2.0,L 2,
boston-college,2010.0,ACC,5.0,2010-10-09,Sat,Away,NA,north-carolina-state,NA,ACC,L,17.0,44.0,2.0,3.0,L 3,
boston-college,2010.0,ACC,6.0,2010-10-16,Sat,Away,NA,florida-state,16.0,ACC,L,19.0,24.0,2.0,4.0,L 4,
boston-college,2010.0,ACC,7.0,2010-10-23,Sat,Home,NA,maryland,NA,ACC,L,21.0,24.0,2.0,5.0,L 5,
boston-college,2010.0,ACC,8.0,2010-10-30,Sat,Home,NA,clemson,NA,ACC,W,16.0,10.0,3.0,5.0,W 1,
boston-college,2010.0,ACC,9.0,2010-11-06,Sat,Away,NA,wake-forest,NA,ACC,W,23.0,13.0,4.0,5.0,W 2,
boston-college,2010.0,ACC,10.0,2010-11-13,Sat,Away,NA,duke,NA,ACC,W,21.0,16.0,5.0,5.0,W 3,
boston-college,2010.0,ACC,11.0,2010-11-20,Sat,Home,NA,virginia,NA,ACC,W,17.0,13.0,6.0,5.0,W 4,
boston-college,2010.0,ACC,12.0,2010-11-27,Sat,Away,NA,syracuse,NA,Big East,W,16.0,7.0,7.0,5.0,W 5,
boston-college,2010.0,ACC,13.0,2011-01-09,Sun,Neutral,NA,nevada,13.0,WAC,L,13.0,20.0,7.0,6.0,L 1,"Fight Hunger Bowl (Fight Hunger Bowl (San Francisco, CA))"
boston-college,2009.0,ACC,1.0,2009-09-05,Sat,Home,NA,northeastern,NA,Non-Major,W,54.0,0.0,1.0,0.0,W 1,
boston-college,2009.0,ACC,2.0,2009-09-12,Sat,Home,NA,kent-state,NA,MAC,W,34.0,7.0,2.0,0.0,W 2,
boston-college,2009.0,ACC,3.0,2009-09-19,Sat,Away,NA,clemson,NA,ACC,L,7.0,25.0,2.0,1.0,L 1,
boston-college,2009.0,ACC,4.0,2009-09-26,Sat,Home,NA,wake-forest,NA,ACC,W,27.0,24.0,3.0,1.0,W 1,
boston-college,2009.0,ACC,5.0,2009-10-03,Sat,Home,NA,florida-state,NA,ACC,W,28.0,21.0,4.0,1.0,W 2,
boston-college,2009.0,ACC,6.0,2009-10-10,Sat,Away,NA,virginia-tech,5.0,ACC,L,14.0,48.0,4.0,2.0,L 1,
