Team,Season,Conference,Game_Number,Date,Day,Location,TeamRank,Opponent,OpponentRank,OpponentConf,Result,Points,Opponent_Points,TotalWins,TotalLosses,Streak,Notes
iowa-state,2016.0,Big 12,1.0,2016-09-03,Sat,Home,NA,northern-iowa,NA,Non-Major,L,20.0,25.0,0.0,1.0,L 1,
iowa-state,2016.0,Big 12,2.0,2016-09-10,Sat,Away,NA,iowa,16.0,Big Ten,L,3.0,42.0,0.0,2.0,L 2,
iowa-state,2016.0,Big 12,3.0,2016-09-17,Sat,Away,NA,texas-christian,NA,Big 12,L,20.0,41.0,0.0,3.0,L 3,
iowa-state,2016.0,Big 12,4.0,2016-09-24,Sat,Home,NA,san-jose-state,NA,MWC,W,44.0,10.0,1.0,3.0,W 1,
iowa-state,2016.0,Big 12,5.0,2016-10-01,Sat,Home,NA,baylor,13.0,Big 12,L,42.0,45.0,1.0,4.0,L 1,
iowa-state,2016.0,Big 12,6.0,2016-10-08,Sat,Away,NA,oklahoma-state,NA,Big 12,L,31.0,38.0,1.0,5.0,L 2,
iowa-state,2016.0,Big 12,7.0,2016-10-15,Sat,Away,NA,texas,NA,Big 12,L,6.0,27.0,1.0,6.0,L 3,
iowa-state,2016.0,Big 12,8.0,2016-10-29,Sat,Home,NA,kansas-state,NA,Big 12,L,26.0,31.0,1.0,7.0,L 4,
iowa-state,2016.0,Big 12,9.0,2016-11-03,Thu,Home,NA,oklahoma,12.0,Big 12,L,24.0,34.0,1.0,8.0,L 5,
iowa-state,2016.0,Big 12,10.0,2016-11-12,Sat,Away,NA,kansas,NA,Big 12,W,31.0,24.0,2.0,8.0,W 1,
iowa-state,2016.0,Big 12,11.0,2016-11-19,Sat,Home,NA,texas-tech,NA,Big 12,W,66.0,10.0,3.0,8.0,W 2,
iowa-state,2016.0,Big 12,12.0,2016-11-26,Sat,Home,NA,west-virginia,19.0,Big 12,L,19.0,49.0,3.0,9.0,L 1,
iowa-state,2015.0,Big 12,1.0,2015-09-05,Sat,Home,NA,northern-iowa,NA,Non-Major,W,31.0,7.0,1.0,0.0,W 1,
iowa-state,2015.0,Big 12,2.0,2015-09-12,Sat,Home,NA,iowa,NA,Big Ten,L,17.0,31.0,1.0,1.0,L 1,
iowa-state,2015.0,Big 12,3.0,2015-09-19,Sat,Away,NA,toledo,NA,MAC,L,23.0,30.0,1.0,2.0,L 2,
iowa-state,2015.0,Big 12,4.0,2015-10-03,Sat,Home,NA,kansas,NA,Big 12,W,38.0,13.0,2.0,2.0,W 1,
iowa-state,2015.0,Big 12,5.0,2015-10-10,Sat,Away,NA,texas-tech,NA,Big 12,L,31.0,66.0,2.0,3.0,L 1,
iowa-state,2015.0,Big 12,6.0,2015-10-17,Sat,Home,NA,texas-christian,3.0,Big 12,L,21.0,45.0,2.0,4.0,L 2,
iowa-state,2015.0,Big 12,7.0,2015-10-24,Sat,Away,NA,baylor,2.0,Big 12,L,27.0,45.0,2.0,5.0,L 3,
iowa-state,2015.0,Big 12,8.0,2015-10-31,Sat,Home,NA,texas,NA,Big 12,W,24.0,0.0,3.0,5.0,W 1,
iowa-state,2015.0,Big 12,9.0,2015-11-07,Sat,Away,NA,oklahoma,14.0,Big 12,L,16.0,52.0,3.0,6.0,L 1,
iowa-state,2015.0,Big 12,10.0,2015-11-14,Sat,Home,NA,oklahoma-state,5.0,Big 12,L,31.0,35.0,3.0,7.0,L 2,
iowa-state,2015.0,Big 12,11.0,2015-11-21,Sat,Away,NA,kansas-state,NA,Big 12,L,35.0,38.0,3.0,8.0,L 3,
iowa-state,2015.0,Big 12,12.0,2015-11-28,Sat,Away,NA,west-virginia,NA,Big 12,L,6.0,30.0,3.0,9.0,L 4,
iowa-state,2014.0,Big 12,1.0,2014-08-30,Sat,Home,NA,north-dakota-state,NA,Non-Major,L,14.0,34.0,0.0,1.0,L 1,
iowa-state,2014.0,Big 12,2.0,2014-09-06,Sat,Home,NA,kansas-state,20.0,Big 12,L,28.0,32.0,0.0,2.0,L 2,
iowa-state,2014.0,Big 12,3.0,2014-09-13,Sat,Away,NA,iowa,NA,Big Ten,W,20.0,17.0,1.0,2.0,W 1,
iowa-state,2014.0,Big 12,4.0,2014-09-27,Sat,Home,NA,baylor,7.0,Big 12,L,28.0,49.0,1.0,3.0,L 1,
iowa-state,2014.0,Big 12,5.0,2014-10-04,Sat,Away,NA,oklahoma-state,21.0,Big 12,L,20.0,37.0,1.0,4.0,L 2,
iowa-state,2014.0,Big 12,6.0,2014-10-11,Sat,Home,NA,toledo,NA,MAC,W,37.0,30.0,2.0,4.0,W 1,
iowa-state,2014.0,Big 12,7.0,2014-10-18,Sat,Away,NA,texas,NA,Big 12,L,45.0,48.0,2.0,5.0,L 1,
iowa-state,2014.0,Big 12,8.0,2014-11-01,Sat,Home,NA,oklahoma,19.0,Big 12,L,14.0,59.0,2.0,6.0,L 2,
iowa-state,2014.0,Big 12,9.0,2014-11-08,Sat,Away,NA,kansas,NA,Big 12,L,14.0,34.0,2.0,7.0,L 3,
iowa-state,2014.0,Big 12,10.0,2014-11-22,Sat,Home,NA,texas-tech,NA,Big 12,L,31.0,34.0,2.0,8.0,L 4,
iowa-state,2014.0,Big 12,11.0,2014-11-29,Sat,Home,NA,west-virginia,NA,Big 12,L,24.0,37.0,2.0,9.0,L 5,
iowa-state,2014.0,Big 12,12.0,2014-12-06,Sat,Away,NA,texas-christian,4.0,Big 12,L,3.0,55.0,2.0,10.0,L 6,
iowa-state,2013.0,Big 12,1.0,2013-08-31,Sat,Home,NA,northern-iowa,NA,Non-Major,L,20.0,28.0,0.0,1.0,L 1,
iowa-state,2013.0,Big 12,2.0,2013-09-14,Sat,Home,NA,iowa,NA,Big Ten,L,21.0,27.0,0.0,2.0,L 2,
iowa-state,2013.0,Big 12,3.0,2013-09-26,Thu,Away,NA,tulsa,NA,CUSA,W,38.0,21.0,1.0,2.0,W 1,
iowa-state,2013.0,Big 12,4.0,2013-10-03,Thu,Home,NA,texas,NA,Big 12,L,30.0,31.0,1.0,3.0,L 1,
iowa-state,2013.0,Big 12,5.0,2013-10-12,Sat,Away,NA,texas-tech,20.0,Big 12,L,35.0,42.0,1.0,4.0,L 2,
iowa-state,2013.0,Big 12,6.0,2013-10-19,Sat,Away,NA,baylor,12.0,Big 12,L,7.0,71.0,1.0,5.0,L 3,
iowa-state,2013.0,Big 12,7.0,2013-10-26,Sat,Home,NA,oklahoma-state,19.0,Big 12,L,27.0,58.0,1.0,6.0,L 4,
iowa-state,2013.0,Big 12,8.0,2013-11-02,Sat,Away,NA,kansas-state,NA,Big 12,L,7.0,41.0,1.0,7.0,L 5,
iowa-state,2013.0,Big 12,9.0,2013-11-09,Sat,Home,NA,texas-christian,NA,Big 12,L,17.0,21.0,1.0,8.0,L 6,
iowa-state,2013.0,Big 12,10.0,2013-11-16,Sat,Away,NA,oklahoma,22.0,Big 12,L,10.0,48.0,1.0,9.0,L 7,
iowa-state,2013.0,Big 12,11.0,2013-11-23,Sat,Home,NA,kansas,NA,Big 12,W,34.0,0.0,2.0,9.0,W 1,
iowa-state,2013.0,Big 12,12.0,2013-11-30,Sat,Away,NA,west-virginia,NA,Big 12,W,52.0,44.0,3.0,9.0,W 2,
iowa-state,2012.0,Big 12,1.0,2012-09-01,Sat,Home,NA,tulsa,NA,CUSA,W,38.0,23.0,1.0,0.0,W 1,
iowa-state,2012.0,Big 12,2.0,2012-09-08,Sat,Away,NA,iowa,NA,Big Ten,W,9.0,6.0,2.0,0.0,W 2,
iowa-state,2012.0,Big 12,3.0,2012-09-15,Sat,Home,NA,western-illinois,NA,Non-Major,W,37.0,3.0,3.0,0.0,W 3,
