Team,Season,Conference,Game_Number,Date,Day,Location,TeamRank,Opponent,OpponentRank,OpponentConf,Result,Points,Opponent_Points,TotalWins,TotalLosses,Streak,Notes
nebraska,2016.0,Big Ten,1.0,2016-09-03,Sat,Home,NA,fresno-state,NA,MWC,W,43.0,10.0,1.0,0.0,W 1,
nebraska,2016.0,Big Ten,2.0,2016-09-10,Sat,Home,NA,wyoming,NA,MWC,W,52.0,17.0,2.0,0.0,W 2,
nebraska,2016.0,Big Ten,3.0,2016-09-17,Sat,Home,NA,oregon,22.0,Pac-12,W,35.0,32.0,3.0,0.0,W 3,
nebraska,2016.0,Big Ten,4.0,2016-09-24,Sat,Away,20.0,northwestern,NA,Big Ten,W,24.0,13.0,4.0,0.0,W 4,
nebraska,2016.0,Big Ten,5.0,2016-10-01,Sat,Home,15.0,illinois,NA,Big Ten,W,31.0,16.0,5.0,0.0,W 5,
nebraska,2016.0,Big Ten,6.0,2016-10-15,Sat,Away,10.0,indiana,NA,Big Ten,W,27.0,22.0,6.0,0.0,W 6,
nebraska,2016.0,Big Ten,7.0,2016-10-22,Sat,Home,8.0,purdue,NA,Big Ten,W,27.0,14.0,7.0,0.0,W 7,
nebraska,2016.0,Big Ten,8.0,2016-10-29,Sat,Away,7.0,wisconsin,11.0,Big Ten,L,17.0,23.0,7.0,1.0,L 1,
nebraska,2016.0,Big Ten,9.0,2016-11-05,Sat,Away,9.0,ohio-state,6.0,Big Ten,L,3.0,62.0,7.0,2.0,L 2,
nebraska,2016.0,Big Ten,10.0,2016-11-12,Sat,Home,21.0,minnesota,NA,Big Ten,W,24.0,17.0,8.0,2.0,W 1,
nebraska,2016.0,Big Ten,11.0,2016-11-19,Sat,Home,19.0,maryland,NA,Big Ten,W,28.0,7.0,9.0,2.0,W 2,
nebraska,2016.0,Big Ten,12.0,2016-11-25,Fri,Away,17.0,iowa,NA,Big Ten,L,10.0,40.0,9.0,3.0,L 1,
nebraska,2016.0,Big Ten,13.0,2016-12-30,Fri,Neutral,24.0,tennessee,NA,SEC,L,24.0,38.0,9.0,4.0,L 2,Music City Bowl
nebraska,2015.0,Big Ten,1.0,2015-09-05,Sat,Home,NA,brigham-young,NA,Ind,L,28.0,33.0,0.0,1.0,L 1,
nebraska,2015.0,Big Ten,2.0,2015-09-12,Sat,Home,NA,south-alabama,NA,Sun Belt,W,48.0,9.0,1.0,1.0,W 1,
nebraska,2015.0,Big Ten,3.0,2015-09-19,Sat,Away,NA,miami-fl,NA,ACC,L,33.0,36.0,1.0,2.0,L 1,
nebraska,2015.0,Big Ten,4.0,2015-09-26,Sat,Home,NA,southern-mississippi,NA,CUSA,W,36.0,28.0,2.0,2.0,W 1,
nebraska,2015.0,Big Ten,5.0,2015-10-03,Sat,Away,NA,illinois,NA,Big Ten,L,13.0,14.0,2.0,3.0,L 1,
nebraska,2015.0,Big Ten,6.0,2015-10-10,Sat,Home,NA,wisconsin,NA,Big Ten,L,21.0,23.0,2.0,4.0,L 2,
nebraska,2015.0,Big Ten,7.0,2015-10-17,Sat,Away,NA,minnesota,NA,Big Ten,W,48.0,25.0,3.0,4.0,W 1,
nebraska,2015.0,Big Ten,8.0,2015-10-24,Sat,Home,NA,northwestern,NA,Big Ten,L,28.0,30.0,3.0,5.0,L 1,
nebraska,2015.0,Big Ten,9.0,2015-10-31,Sat,Away,NA,purdue,NA,Big Ten,L,45.0,55.0,3.0,6.0,L 2,
nebraska,2015.0,Big Ten,10.0,2015-11-07,Sat,Home,NA,michigan-state,6.0,Big Ten,W,39.0,38.0,4.0,6.0,W 1,
nebraska,2015.0,Big Ten,11.0,2015-11-14,Sat,Away,NA,rutgers,NA,Big Ten,W,31.0,14.0,5.0,6.0,W 2,
