Team,Season,Conference,Game_Number,Date,Day,Location,TeamRank,Opponent,OpponentRank,OpponentConf,Result,Points,Opponent_Points,TotalWins,TotalLosses,Streak,Notes
washington,2016.0,Pac-12,1.0,2016-09-03,Sat,Home,14.0,rutgers,NA,Big Ten,W,48.0,13.0,1.0,0.0,W 1,
washington,2016.0,Pac-12,2.0,2016-09-10,Sat,Home,8.0,idaho,NA,Sun Belt,W,59.0,14.0,2.0,0.0,W 2,
washington,2016.0,Pac-12,3.0,2016-09-17,Sat,Home,8.0,portland-state,NA,Non-Major,W,41.0,3.0,3.0,0.0,W 3,
washington,2016.0,Pac-12,4.0,2016-09-24,Sat,Away,9.0,arizona,NA,Pac-12,W,35.0,28.0,4.0,0.0,W 4,
washington,2016.0,Pac-12,5.0,2016-09-30,Fri,Home,10.0,stanford,7.0,Pac-12,W,44.0,6.0,5.0,0.0,W 5,
washington,2016.0,Pac-12,6.0,2016-10-08,Sat,Away,5.0,oregon,NA,Pac-12,W,70.0,21.0,6.0,0.0,W 6,
washington,2016.0,Pac-12,7.0,2016-10-22,Sat,Home,5.0,oregon-state,NA,Pac-12,W,41.0,17.0,7.0,0.0,W 7,
washington,2016.0,Pac-12,8.0,2016-10-29,Sat,Away,4.0,utah,17.0,Pac-12,W,31.0,24.0,8.0,0.0,W 8,
washington,2016.0,Pac-12,9.0,2016-11-05,Sat,Away,4.0,california,NA,Pac-12,W,66.0,27.0,9.0,0.0,W 9,
washington,2016.0,Pac-12,10.0,2016-11-12,Sat,Home,4.0,southern-california,NA,Pac-12,L,13.0,26.0,9.0,1.0,L 1,
washington,2016.0,Pac-12,11.0,2016-11-19,Sat,Home,7.0,arizona-state,NA,Pac-12,W,44.0,18.0,10.0,1.0,W 1,
washington,2016.0,Pac-12,12.0,2016-11-25,Fri,Away,6.0,washington-state,23.0,Pac-12,W,45.0,17.0,11.0,1.0,W 2,
washington,2016.0,Pac-12,13.0,2016-12-02,Fri,Neutral,4.0,colorado,9.0,Pac-12,W,41.0,10.0,12.0,1.0,W 3,Pac-12 Championship Game
washington,2016.0,Pac-12,14.0,2016-12-31,Sat,Neutral,4.0,alabama,1.0,SEC,L,7.0,24.0,12.0,2.0,L 1,Peach Bowl
washington,2015.0,Pac-12,1.0,2015-09-04,Fri,Away,NA,boise-state,23.0,MWC,L,13.0,16.0,0.0,1.0,L 1,
washington,2015.0,Pac-12,2.0,2015-09-12,Sat,Home,NA,sacramento-state,NA,Non-Major,W,49.0,0.0,1.0,1.0,W 1,
washington,2015.0,Pac-12,3.0,2015-09-19,Sat,Home,NA,utah-state,NA,MWC,W,31.0,17.0,2.0,1.0,W 2,
washington,2015.0,Pac-12,4.0,2015-09-26,Sat,Home,NA,california,NA,Pac-12,L,24.0,30.0,2.0,2.0,L 1,
washington,2015.0,Pac-12,5.0,2015-10-08,Thu,Away,NA,southern-california,17.0,Pac-12,W,17.0,12.0,3.0,2.0,W 1,
washington,2015.0,Pac-12,6.0,2015-10-17,Sat,Home,NA,oregon,NA,Pac-12,L,20.0,26.0,3.0,3.0,L 1,
washington,2015.0,Pac-12,7.0,2015-10-24,Sat,Away,NA,stanford,10.0,Pac-12,L,14.0,31.0,3.0,4.0,L 2,
washington,2015.0,Pac-12,8.0,2015-10-31,Sat,Home,NA,arizona,NA,Pac-12,W,49.0,3.0,4.0,4.0,W 1,
washington,2015.0,Pac-12,9.0,2015-11-07,Sat,Home,NA,utah,13.0,Pac-12,L,23.0,34.0,4.0,5.0,L 1,
washington,2015.0,Pac-12,10.0,2015-11-14,Sat,Away,NA,arizona-state,NA,Pac-12,L,17.0,27.0,4.0,6.0,L 2,
washington,2015.0,Pac-12,11.0,2015-11-21,Sat,Away,NA,oregon-state,NA,Pac-12,W,52.0,7.0,5.0,6.0,W 1,
