Team,Year,totalWins,totalLosses,BowlAppearances,BowlWins,All_Time_Win_Pct
alabama,1902.0,4.0,4.0,0,0,0.5
alabama,1903.0,7.0,8.0,0,0,0.4666666666666667
alabama,1904.0,14.0,11.0,0,0,0.56
alabama,1905.0,20.0,15.0,0,0,0.5714285714285714
alabama,1906.0,25.0,16.0,0,0,0.6097560975609756
alabama,1907.0,30.0,17.0,0,0,0.6382978723404256
alabama,1908.0,36.0,18.0,0,0,0.6666666666666666
alabama,1909.0,41.0,19.0,0,0,0.6833333333333333
alabama,1910.0,45.0,23.0,0,0,0.6617647058823529
alabama,1911.0,50.0,25.0,0,0,0.6666666666666666
alabama,1912.0,55.0,28.0,0,0,0.6626506024096386
alabama,1913.0,61.0,31.0,0,0,0.6630434782608695
alabama,1914.0,66.0,35.0,0,0,0.6534653465346535
alabama,1915.0,72.0,37.0,0,0,0.6605504587155964
alabama,1916.0,78.0,40.0,0,0,0.6610169491525424
alabama,1917.0,83.0,42.0,0,0,0.664
alabama,1919.0,91.0,43.0,0,0,0.6791044776119403
alabama,1920.0,101.0,44.0,0,0,0.696551724137931
alabama,1921.0,106.0,48.0,0,0,0.6883116883116883
alabama,1922.0,112.0,51.0,0,0,0.6871165644171779
alabama,1923.0,119.0,53.0,0,0,0.6918604651162791
alabama,1924.0,127.0,54.0,0,0,0.7016574585635359
alabama,1925.0,137.0,54.0,1,1,0.7172774869109948
alabama,1926.0,146.0,54.0,2,1,0.73
alabama,1927.0,151.0,58.0,2,1,0.722488038277512
alabama,1928.0,157.0,61.0,2,1,0.7201834862385321
alabama,1929.0,163.0,64.0,2,1,0.7180616740088106
alabama,1930.0,173.0,64.0,3,2,0.729957805907173
alabama,1931.0,182.0,65.0,3,2,0.7368421052631579
alabama,1932.0,190.0,67.0,3,2,0.7392996108949417
alabama,1933.0,197.0,68.0,3,2,0.7433962264150943
alabama,1934.0,207.0,68.0,4,3,0.7527272727272727
alabama,1935.0,213.0,70.0,4,3,0.7526501766784452
alabama,1936.0,221.0,70.0,4,3,0.7594501718213058
alabama,1937.0,230.0,71.0,5,3,0.7641196013289037
alabama,1938.0,237.0,72.0,5,3,0.7669902912621359
alabama,1939.0,242.0,75.0,5,3,0.7634069400630915
alabama,1940.0,249.0,77.0,5,3,0.7638036809815951
